Image_name,Genotype,Plant_number,laser,Cell_type,Count,Total_area,Avg_area
Segmented_GiantCells_pAR389-Col-T1#1-10X-1A_Maximumintensityprojection_edited.tif,pAR389,1,1A,Giant,14,184771170.500,13197940.750
Segmented_GiantCells_pAR389-Col-T1#14-10X-1A_Maximumintensityprojection_edited.tif (RGB).tif,pAR389,14,1A,Giant,49,833711421.000,17014518.796
Segmented_GiantCells_pAR389-Col-T1#16-10X-1A_Maximumintensityprojection_edited.tif (RGB).tif,pAR389,16,1A,Giant,44,744563070.500,16921887.966
Segmented_GiantCells_pAR389-Col-T1#2-10X-1A_Maximumintensityprojection_edited.tif (RGB).tif,pAR389,2,1A,Giant,32,572367295.000,17886477.969
Segmented_GiantCells_pAR389-Col-T1#3-10X-1A_Maximumintensityprojection_edited.tif (RGB).tif,pAR389,3,1A,Giant,45,642465794.500,14277017.656
Segmented_SmallCells_pAR389-Col-T1#1-10X-1A_Maximumintensityprojection_edited.tif,pAR389,1,1A,Small,32,60137785.750,1879305.805
Segmented_SmallCells_pAR389-Col-T1#14-10X-1A_Maximumintensityprojection_edited.tif (RGB).tif,pAR389,14,1A,Small,176,653547077.250,3713335.666
Segmented_SmallCells_pAR389-Col-T1#16-10X-1A_Maximumintensityprojection_edited.tif (RGB).tif,pAR389,16,1A,Small,174,535139137.625,3075512.285
Segmented_SmallCells_pAR389-Col-T1#2-10X-1A_Maximumintensityprojection_edited.tif (RGB).tif,pAR389,2,1A,Small,125,373900148.000,2991201.184
Segmented_SmallCells_pAR389-Col-T1#3-10X-1A_Maximumintensityprojection_edited.tif (RGB).tif,pAR389,3,1A,Small,61,178421215.375,2924937.957
Segmented_GiantCells_pAR389-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR389,10,1A,Giant,39,7121,182.590
Segmented_SmallCells_pAR389-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR389,10,1A,Small,187,5701,30.487
Segmented_GiantCells_pAR389-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR389,11,1A,Giant,35,5761,164.600
Segmented_SmallCells_pAR389-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR389,11,1A,Small,188,5420,28.830
Segmented_GiantCells_pAR389-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR389,12,1A,Giant,40,5531,138.275
Segmented_SmallCells_pAR389-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR389,12,1A,Small,95,2182,22.968
Segmented_GiantCells_pAR389-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR389,17,1A,Giant,29,4796,165.379
Segmented_SmallCells_pAR389-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR389,17,1A,Small,294,7875,26.786
Segmented_GiantCells_pAR389-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR389,18,1A,Giant,36,5162,143.389
Segmented_SmallCells_pAR389-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR389,18,1A,Small,183,4676,25.552
Segmented_GiantCells_pAR389-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR389,20,1A,Giant,44,6192,140.727
Segmented_SmallCells_pAR389-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR389,20,1A,Small,294,6891,23.439
Segmented_GiantCells_pAR389-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR389,4,1A,Giant,23,3136,136.348
Segmented_SmallCells_pAR389-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR389,4,1A,Small,260,7453,28.665
Segmented_GiantCells_pAR389-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR389,5,1A,Giant,49,7318,149.347
Segmented_SmallCells_pAR389-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR389,5,1A,Small,997,29829,29.919
Segmented_GiantCells_pAR389-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR389,6,1A,Giant,33,4819,146.030
Segmented_SmallCells_pAR389-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR389,6,1A,Small,168,3381,20.125
Segmented_GiantCells_pAR389-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR389,7,1A,Giant,39,6176,158.359
Segmented_SmallCells_pAR389-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR389,7,1A,Small,230,6693,29.100
