Image_name,Genotype,Plant_number,laser,Count_Small,Total_area_Small,Avg_area_Small,Count_Giant,Total_area_Giant,Avg_area_Giant,Small.Giant_ratio,Giant.Small_ratio,Percent_Small_Cells,Total_area,Small_Giant_area_ratio,Percent_area_small,Percent_area_giant
Segmented_GiantCells_pAR307-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR307,1,1A,903,31719,35.126,40,6839,170.975,22.575,0.044296788,0.957582185,38558,4.637958766,0.822630842,0.177369158
Segmented_GiantCells_pAR307-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR307,11,1A,399,13809,34.609,23,3344,145.391,17.34782609,0.05764411,0.94549763,17153,4.129485646,0.80504868,0.19495132
Segmented_GiantCells_pAR307-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR307,12,1A,471,14302,30.365,35,4456,127.314,13.45714286,0.074309979,0.93083004,18758,3.209605027,0.762448022,0.237551978
Segmented_GiantCells_pAR307-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR307,13,1A,451,12337,27.355,48,6082,126.708,9.395833333,0.106430155,0.903807615,18419,2.028444591,0.669797492,0.330202508
Segmented_GiantCells_pAR307-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR307,14,1A,691,21184,30.657,61,6748,110.623,11.32786885,0.088277858,0.918882979,27932,3.139300533,0.758413289,0.241586711
Segmented_GiantCells_pAR307-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR307,15,1A,483,13143,27.211,39,4768,122.256,12.38461538,0.080745342,0.925287356,17911,2.756501678,0.733794875,0.266205125
Segmented_GiantCells_pAR307-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR307,16,1A,331,8156,24.64,55,5971,108.564,6.018181818,0.166163142,0.857512953,14127,1.365935354,0.577334183,0.422665817
Segmented_GiantCells_pAR307-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR307,17,1A,498,16702,33.538,38,6255,164.605,13.10526316,0.076305221,0.929104478,22957,2.670183853,0.727534085,0.272465915
Segmented_GiantCells_pAR307-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR307,18,1A,582,20622,35.433,43,7148,166.233,13.53488372,0.073883162,0.9312,27770,2.885002798,0.742599928,0.257400072
Segmented_GiantCells_pAR307-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR307,19,1A,830,34364,41.402,59,7139,121,14.06779661,0.071084337,0.933633296,41503,4.813559322,0.827988338,0.172011662
