Image_name,Genotype,Plant_number,laser,Cell_type,Count,Total_area,Avg_area
Segmented_GiantCells_pBR69-Col-T1#11-10X-280x_Maximum intensity projection.tif,pBR69,11,280x,Giant,2,153,76.500
Segmented_GiantCells_pBR69-Col-T1#12-10X-90x_Maximum intensity projection.tif,pBR69,12,90x,Giant,2,349,174.500
Segmented_GiantCells_pBR69-Col-T1#13-10X-400x_Maximum intensity projection.tif,pBR69,13,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR69-Col-T1#15-10X-350x_Maximum intensity projection.tif,pBR69,15,350x,Giant,15,1253,83.533
Segmented_GiantCells_pBR69-Col-T1#16-10X-220x_Maximum intensity projection.tif,pBR69,16,220x,Giant,12,1456,121.333
Segmented_GiantCells_pBR69-Col-T1#17-10X-200x_Maximum intensity projection.tif,pBR69,17,200x,Giant,3,388,129.333
Segmented_GiantCells_pBR69-Col-T1#18-10X-200x_Maximum intensity projection.tif,pBR69,18,200x,Giant,5,464,92.800
Segmented_GiantCells_pBR69-Col-T1#19-10X-240x_Maximum intensity projection.tif,pBR69,19,240x,Giant,2,166,83.000
Segmented_GiantCells_pBR69-Col-T1#2-10X-350x_Maximum intensity projection.tif,pBR69,2,350x,Giant,7,853,121.857
Segmented_GiantCells_pBR69-Col-T1#20-10X-350x_Maximum intensity projection.tif,pBR69,20,350x,Giant,7,819,117.000
Segmented_GiantCells_pBR69-Col-T1#22-10X-130x_Maximum intensity projection.tif,pBR69,22,130x,Giant,3,370,123.333
Segmented_GiantCells_pBR69-Col-T1#3-10X-350x_Maximum intensity projection.tif,pBR69,3,350x,Giant,10,1120,112.000
Segmented_GiantCells_pBR69-Col-T1#9-10X-70x_Maximum intensity projection.tif,pBR69,9,70x,Giant,3,462,154.000
Segmented_SmallCells_pBR69-Col-T1#11-10X-280x_Maximum intensity projection.tif,pBR69,11,280x,Small,19,198,10.421
Segmented_SmallCells_pBR69-Col-T1#12-10X-90x_Maximum intensity projection.tif,pBR69,12,90x,Small,195,3543,18.169
Segmented_SmallCells_pBR69-Col-T1#13-10X-400x_Maximum intensity projection.tif,pBR69,13,400x,Small,13,182,14.000
Segmented_SmallCells_pBR69-Col-T1#15-10X-350x_Maximum intensity projection.tif,pBR69,15,350x,Small,87,1389,15.966
Segmented_SmallCells_pBR69-Col-T1#16-10X-220x_Maximum intensity projection.tif,pBR69,16,220x,Small,209,2779,13.297
Segmented_SmallCells_pBR69-Col-T1#17-10X-200x_Maximum intensity projection.tif,pBR69,17,200x,Small,62,838,13.516
Segmented_SmallCells_pBR69-Col-T1#18-10X-200x_Maximum intensity projection.tif,pBR69,18,200x,Small,80,1002,12.525
Segmented_SmallCells_pBR69-Col-T1#19-10X-240x_Maximum intensity projection.tif,pBR69,19,240x,Small,84,1225,14.583
Segmented_SmallCells_pBR69-Col-T1#2-10X-350x_Maximum intensity projection.tif,pBR69,2,350x,Small,22,287,13.045
Segmented_SmallCells_pBR69-Col-T1#20-10X-350x_Maximum intensity projection.tif,pBR69,20,350x,Small,12,101,8.417
Segmented_SmallCells_pBR69-Col-T1#22-10X-130x_Maximum intensity projection.tif,pBR69,22,130x,Small,30,353,11.767
Segmented_SmallCells_pBR69-Col-T1#3-10X-350x_Maximum intensity projection.tif,pBR69,3,350x,Small,139,3456,24.863
Segmented_SmallCells_pBR69-Col-T1#9-10X-70x_Maximum intensity projection.tif,pBR69,9,70x,Small,41,487,11.878
Segmented_GiantCells_pBR69-Col-T1#1-10X-400x_Maximum intensity projection.tif,pBR69,1,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR69-Col-T1#10-10X-300x_Maximum intensity projection.tif,pBR69,10,300x,Giant,5,568,113.600
Segmented_GiantCells_pBR69-Col-T1#14-10X-350x_Maximum intensity projection.tif,pBR69,14,350x,Giant,4,347,86.750
Segmented_GiantCells_pBR69-Col-T1#21-10X-400x_Maximum intensity projection.tif,pBR69,21,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR69-Col-T1#4-10X-280x_Maximum intensity projection.tif,pBR69,4,280x,Giant,5,582,116.400
Segmented_GiantCells_pBR69-Col-T1#5-10X-350x_Maximum intensity projection.tif,pBR69,5,350x,Giant,0,0,NaN
Segmented_GiantCells_pBR69-Col-T1#6-10X-400x_Maximum intensity projection.tif,pBR69,6,400x,Giant,2,117,58.500
Segmented_GiantCells_pBR69-Col-T1#7-10X-400x_Maximum intensity projection.tif,pBR69,7,400x,Giant,8,830,103.750
Segmented_GiantCells_pBR69-Col-T1#8-10X-400x_Maximum intensity projection.tif,pBR69,8,400x,Giant,3,346,115.333
Segmented_SmallCells_pBR69-Col-T1#1-10X-400x_Maximum intensity projection.tif,pBR69,1,400x,Small,5,61,12.200
Segmented_SmallCells_pBR69-Col-T1#10-10X-300x_Maximum intensity projection.tif,pBR69,10,300x,Small,15,165,11.000
Segmented_SmallCells_pBR69-Col-T1#14-10X-350x_Maximum intensity projection.tif,pBR69,14,350x,Small,14,157,11.214
Segmented_SmallCells_pBR69-Col-T1#21-10X-400x_Maximum intensity projection.tif,pBR69,21,400x,Small,3,24,8.000
Segmented_SmallCells_pBR69-Col-T1#4-10X-280x_Maximum intensity projection.tif,pBR69,4,280x,Small,61,977,16.016
Segmented_SmallCells_pBR69-Col-T1#5-10X-350x_Maximum intensity projection.tif,pBR69,5,350x,Small,12,147,12.250
Segmented_SmallCells_pBR69-Col-T1#6-10X-400x_Maximum intensity projection.tif,pBR69,6,400x,Small,1,16,16.000
Segmented_SmallCells_pBR69-Col-T1#7-10X-400x_Maximum intensity projection.tif,pBR69,7,400x,Small,12,177,14.750
Segmented_SmallCells_pBR69-Col-T1#8-10X-400x_Maximum intensity projection.tif,pBR69,8,400x,Small,11,99,9.000
Segmented_GiantCells_pBR67-Col-T1#11-10X-400x_Maximum intensity projection.tif,pBR67,11,400x,Giant,3,350,116.667
Segmented_GiantCells_pBR67-Col-T1#12-10X-400x_Maximum intensity projection.tif,pBR67,12,400x,Giant,3,257,85.667
Segmented_GiantCells_pBR67-Col-T1#13-10X-404x_Maximum intensity projection.tif,pBR67,13,404x,Giant,2,171,85.500
Segmented_GiantCells_pBR67-Col-T1#17-10X-170x_Maximum intensity projection.tif,pBR67,17,170x,Giant,33,3673,111.303
Segmented_GiantCells_pBR67-Col-T1#18-10X-400x_Maximum intensity projection.tif,pBR67,18,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#4-10X-400x_Maximum intensity projection.tif,pBR67,4,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#7-10X-400x_Maximum intensity projection.tif,pBR67,7,400x,Giant,1,58,58.000
Segmented_GiantCells_pBR67-Col-T1#9-10X-400x_Maximum intensity projection.tif,pBR67,9,400x,Giant,0,0,NaN
Segmented_SmallCells_pBR67-Col-T1#11-10X-400x_Maximum intensity projection.tif,pBR67,11,400x,Small,166,2485,14.970
Segmented_SmallCells_pBR67-Col-T1#12-10X-400x_Maximum intensity projection.tif,pBR67,12,400x,Small,55,903,16.418
Segmented_SmallCells_pBR67-Col-T1#13-10X-404x_Maximum intensity projection.tif,pBR67,13,404x,Small,59,768,13.017
Segmented_SmallCells_pBR67-Col-T1#17-10X-170x_Maximum intensity projection.tif,pBR67,17,170x,Small,332,7600,22.892
Segmented_SmallCells_pBR67-Col-T1#18-10X-400x_Maximum intensity projection.tif,pBR67,18,400x,Small,14,133,9.500
