Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean,laser
Segmented_GiantCells_pBR69-Col-T1#11-10X-280x_Maximum intensity projection.tif,pBR69,11,Giant,2,153,76.5,,,280x
Segmented_GiantCells_pBR69-Col-T1#12-10X-90x_Maximum intensity projection.tif,pBR69,12,Giant,2,349,174.5,,,90x
Segmented_GiantCells_pBR69-Col-T1#13-10X-400x_Maximum intensity projection.tif,pBR69,13,Giant,0,0,NaN,,,400x
Segmented_GiantCells_pBR69-Col-T1#15-10X-350x_Maximum intensity projection.tif,pBR69,15,Giant,15,1253,83.533,,,350x
Segmented_GiantCells_pBR69-Col-T1#16-10X-220x_Maximum intensity projection.tif,pBR69,16,Giant,12,1456,121.333,,,220x
Segmented_GiantCells_pBR69-Col-T1#17-10X-200x_Maximum intensity projection.tif,pBR69,17,Giant,3,388,129.333,,,200x
Segmented_GiantCells_pBR69-Col-T1#18-10X-200x_Maximum intensity projection.tif,pBR69,18,Giant,5,464,92.8,,,200x
Segmented_GiantCells_pBR69-Col-T1#19-10X-240x_Maximum intensity projection.tif,pBR69,19,Giant,2,166,83,,,240x
Segmented_GiantCells_pBR69-Col-T1#2-10X-350x_Maximum intensity projection.tif,pBR69,2,Giant,7,853,121.857,,,350x
Segmented_GiantCells_pBR69-Col-T1#20-10X-350x_Maximum intensity projection.tif,pBR69,20,Giant,7,819,117,,,350x
Segmented_GiantCells_pBR69-Col-T1#22-10X-130x_Maximum intensity projection.tif,pBR69,22,Giant,3,370,123.333,,,130x
Segmented_GiantCells_pBR69-Col-T1#3-10X-350x_Maximum intensity projection.tif,pBR69,3,Giant,10,1120,112,,,350x
Segmented_GiantCells_pBR69-Col-T1#9-10X-70x_Maximum intensity projection.tif,pBR69,9,Giant,3,462,154,,,70x
Segmented_SmallCells_pBR69-Col-T1#11-10X-280x_Maximum intensity projection.tif,pBR69,11,Small,19,198,10.421,,,280x
Segmented_SmallCells_pBR69-Col-T1#12-10X-90x_Maximum intensity projection.tif,pBR69,12,Small,195,3543,18.169,,,90x
