Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean_intensity,Integrated_density,Script_Version
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#1-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,1,Giant,44,11763,267.341,0.561,53.913,15477.432,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#1-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,1,Giant,34,9327,274.324,0.445,60.523,17947.618,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#1-10x-s3i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,1,Giant,48,13083,272.562,0.624,55.054,16725.833,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#1-10x-s4i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,1,Giant,40,11494,287.35,0.548,53.102,17074.075,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#10-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,10,Giant,38,10342,272.158,0.493,60.198,18935.789,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#10-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,10,Giant,39,10309,264.333,0.492,50.902,14631.846,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#11-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,11,Giant,35,11724,334.971,0.559,59.93,21897.743,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#11-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,11,Giant,42,12944,308.19,0.617,62.149,20265.929,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#12-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,12,Giant,27,6546,242.444,0.312,47.551,12725.148,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#12-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,12,Giant,23,7248,315.13,0.346,61.043,19928.609,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#3-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,3,Giant,36,10792,299.778,0.515,67.093,20392.833,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#3-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,3,Giant,31,8598,277.355,0.205,62.74,19518.516,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#4-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,4,Giant,42,12504,297.714,0.596,66.497,20810.286,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#4-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,4,Giant,45,12267,272.6,0.585,57.111,16948.489,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#5-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,5,Giant,26,7164,275.538,0.342,59.786,18724.462,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#5-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,5,Giant,28,8470,302.5,0.404,72.871,24132.071,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#6-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,6,Giant,23,7795,338.913,0.372,65.93,23431.739,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#6-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,6,Giant,32,8361,261.281,0.399,74.672,21249.969,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#7-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,7,Giant,32,11118,347.438,0.53,62.343,22462.188,3
Segmented_GiantCells_pAR254xPDFflagATML1ox-col-F1#7-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,7,Giant,29,7091,244.517,0.338,58.547,15614.276,3
Segmented_GiantCells_pAR254xCol0-col-F1#1-10x-s1i1_Maximumintensityprojection.tif,pAR254xCol0,1,Giant,9,1725,191.667,0.082,37.767,7326.778,3
Segmented_GiantCells_pAR254xCol0-col-F1#1-10x-s2i1_Maximumintensityprojection.tif,pAR254xCol0,1,Giant,8,1307,163.375,0.062,38.767,6840.25,3
Segmented_GiantCells_pAR254xCol0-col-F1#1-10x-s3i1_Maximumintensityprojection.tif,pAR254xCol0,1,Giant,18,2593,144.056,0.124,40.599,6286.944,3
Segmented_GiantCells_pAR254xCol0-col-F1#10-10x-s1i1_Maximumintensityprojection.tif,pAR254xCol0,10,Giant,15,2951,196.733,0.141,47.697,10378.8,3
Segmented_GiantCells_pAR254xCol0-col-F1#10-10x-s2i1_Maximumintensityprojection.tif,pAR254xCol0,10,Giant,10,2083,208.3,0.099,50.431,11938.9,3
Segmented_GiantCells_pAR254xCol0-col-F1#2-10x-s1i1_Maximumintensityprojection.tif,pAR254xCol0,2,Giant,2,428,214,0.02,37.913,8627.5,3
Segmented_GiantCells_pAR254xCol0-col-F1#2-10x-s2i1_Maximumintensityprojection.tif,pAR254xCol0,2,Giant,7,1321,188.714,0.063,42.697,8666.571,3
Segmented_GiantCells_pAR254xCol0-col-F1#4-10x-s1i1_Maximumintensityprojection.tif,pAR254xCol0,4,Giant,8,1169,146.125,0.028,38.78,5901.75,3
Segmented_GiantCells_pAR254xCol0-col-F1#4-10x-s2i1_Maximumintensityprojection.tif,pAR254xCol0,4,Giant,15,2766,184.4,0.132,43.868,9418.067,3
Segmented_GiantCells_pAR254xCol0-col-F1#5-10x-s1i1_Maximumintensityprojection.tif,pAR254xCol0,5,Giant,47,8358,177.83,0.399,49.174,9653.191,3
Segmented_GiantCells_pAR254xCol0-col-F1#6-10x-s1i1_Maximumintensityprojection.tif,pAR254xCol0,6,Giant,32,5060,158.125,0.241,46.514,8028.969,3
Segmented_GiantCells_pAR254xCol0-col-F1#6-10x-s2i1_Maximumintensityprojection.tif,pAR254xCol0,6,Giant,20,3012,150.6,0.144,45.571,7717.4,3
Segmented_GiantCells_pAR254xCol0-col-F1#7-10x-s1i1_Maximumintensityprojection.tif,pAR254xCol0,7,Giant,25,3581,143.24,0.171,41.817,6416,3
Segmented_GiantCells_pAR254xCol0-col-F1#7-10x-s2i1_Maximumintensityprojection.tif,pAR254xCol0,7,Giant,24,4097,170.708,0.195,46.46,9032.375,3
Segmented_GiantCells_pAR254xCol0-col-F1#7-10x-s3i1_Maximumintensityprojection.tif,pAR254xCol0,7,Giant,36,5892,163.667,0.281,59.82,11025.333,3
Segmented_GiantCells_pAR254xCol0-col-F1#7-10x-s4i1_Maximumintensityprojection.tif,pAR254xCol0,7,Giant,22,4023,182.864,0.192,61.051,11957.409,3
Segmented_GiantCells_pAR254xCol0-col-F1#8-10x-s1i1_Maximumintensityprojection.tif,pAR254xCol0,8,Giant,21,3619,172.333,0.173,45.945,9041.667,3
Segmented_GiantCells_pAR254xCol0-col-F1#8-10x-s2i1_Maximumintensityprojection.tif,pAR254xCol0,8,Giant,28,4235,151.25,0.202,52.244,9547.071,3
Segmented_GiantCells_pAR254xCol0-col-F1#8-10x-s3i1_Maximumintensityprojection.tif,pAR254xCol0,8,Giant,23,4174,181.478,0.199,61.983,12507.826,3
Segmented_GiantCells_pAR254xatml14-col-F1#1-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,1,Giant,22,2591,117.773,0.124,39.422,4862.636,3
Segmented_GiantCells_pAR254xatml14-col-F1#1-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,1,Giant,12,1614,134.5,0.077,34.791,4751.667,3
Segmented_GiantCells_pAR254xatml14-col-F1#1-10x-s3i1_Maximumintensityprojection.tif,pAR254xatml14,1,Giant,18,3461,192.278,0.165,51.832,11170.833,3
Segmented_GiantCells_pAR254xatml14-col-F1#1-10x-s4i1_Maximumintensityprojection.tif,pAR254xatml14,1,Giant,16,2603,162.688,0.124,46.633,8488.188,3
Segmented_GiantCells_pAR254xatml14-col-F1#2-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,2,Giant,6,667,111.167,0.032,39.662,4933.167,3
Segmented_GiantCells_pAR254xatml14-col-F1#2-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,2,Giant,11,2154,195.818,0.103,39.717,8541.909,3
Segmented_GiantCells_pAR254xatml14-col-F1#2-10x-s3i1_Maximumintensityprojection.tif,pAR254xatml14,2,Giant,8,1259,157.375,0.06,49.402,9150.5,3
Segmented_GiantCells_pAR254xatml14-col-F1#2-10x-s4i1_Maximumintensityprojection.tif,pAR254xatml14,2,Giant,5,721,144.2,0.034,35.397,5156.4,3
Segmented_GiantCells_pAR254xatml14-col-F1#4-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,4,Giant,5,593,118.6,0.028,40.429,5138,3
Segmented_GiantCells_pAR254xatml14-col-F1#4-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,4,Giant,16,2242,140.125,0.107,36.553,5384.5,3
Segmented_GiantCells_pAR254xatml14-col-F1#4-10x-s3i1_Maximumintensityprojection.tif,pAR254xatml14,4,Giant,2,309,154.5,0.015,61.256,9618.5,3
Segmented_GiantCells_pAR254xatml14-col-F1#4-10x-s4i1_Maximumintensityprojection.tif,pAR254xatml14,4,Giant,2,295,147.5,0.014,37.878,5945.5,3
Segmented_GiantCells_pAR254xatml14-col-F1#5-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,5,Giant,6,1198,199.667,0.057,47.009,10142.833,3
Segmented_GiantCells_pAR254xatml14-col-F1#5-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,5,Giant,7,1417,202.429,0.034,42.401,8924.429,3
Segmented_GiantCells_pAR254xatml14-col-F1#5-10x-s3i1_Maximumintensityprojection.tif,pAR254xatml14,5,Giant,2,226,113,0.011,32.06,3610,3
Segmented_GiantCells_pAR254xatml14-col-F1#6-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,6,Giant,2,272,136,0.013,39.202,5368,3
Segmented_GiantCells_pAR254xatml14-col-F1#6-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,6,Giant,21,3248,154.667,0.155,47.28,8420.905,3
Segmented_GiantCells_pAR254xatml14-col-F1#6-10x-s3i1_Maximumintensityprojection.tif,pAR254xatml14,6,Giant,15,1907,127.133,0.091,41.355,5353.067,3
Segmented_GiantCells_pAR254xatml14-col-F1#7-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,7,Giant,9,1031,114.556,0.049,33.445,3917.333,3
Segmented_GiantCells_pAR254xatml14-col-F1#7-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,7,Giant,7,917,131,0.044,34.701,4791.857,3
Segmented_GiantCells_pAR111xPDFflagATML1ox-col-F1#1-10x-s1i1_Maximumintensityprojection.tif,pAR111xPDFflagATML1ox,1,Giant,33,8826,267.455,0.421,53.395,15306.061,3
Segmented_GiantCells_pAR111xPDFflagATML1ox-col-F1#1-10x-s2i1_Maximumintensityprojection.tif,pAR111xPDFflagATML1ox,1,Giant,37,7501,202.73,0.358,57.055,13569.676,3
