Genotype,Lazer_intensity
pAR111,0.4
pAR111,0.5
pAR111,0.5
pAR111,0.6
pAR111,0.6
pAR111,0.8
pAR111,0.9
pAR111,1
pAR111,1.2
pAR111,1.4
pAR111,2.2
pAR111,2.4
pAR111,4.5
pAR111,6
pAR111,8
pAR111,10
pAR254,0.1
pAR254,0.1
pAR254,0.18
pAR254,0.2
pAR254,0.2
pAR254,0.2
pAR254,0.2
pAR254,0.3
pAR254,0.3
pAR254,0.3
pAR254,0.3
pAR254,0.3
pAR254,0.4
pAR254,0.4
pAR254,0.4
pAR254,0.6
pAR254,0.7
pAR254,0.8
pAR254,1.5
pAR254,1.8
pAR254,2
pAR254,2.8
pAR254,5
pAR254,5
pAR257,0.3
pAR257,0.8
pAR257,0.8
pAR257,1
pAR257,1
pAR257,2
pAR257,2
pAR257,2
pAR257,2
pAR257,2
pAR257,2.2
pAR257,3
pAR257,3
pAR257,4
pAR257,4
pAR257,4
pAR257,5.5
pAR257,6
pAR257,6
pAR257,9
pAR257,9
pAR257,10
pAR257,10
pAR261,0.1
pAR261,0.1
pAR261,0.1
pAR261,0.1
pAR261,0.1
pAR261,0.1
pAR261,0.2
pAR261,0.2
pAR261,0.2
pAR261,0.2
pAR261,0.2
pAR261,0.2
pAR261,0.3
pAR261,0.4
pAR261,0.4
pAR261,0.4
pAR261,0.5
pAR261,0.5
pAR261,0.5
pAR261,0.6
pAR261,1
pAR261,1
pAR261,1.2
pAR261,3
pAR262,0.2
pAR262,0.4
pAR262,0.6
pAR262,0.6
pAR262,0.8
pAR262,1
pAR262,1.2
pAR262,1.2
pAR262,1.2
pAR262,2
pAR262,2.4
pAR262,2.8
pAR262,3
pAR262,3.5
pAR262,8
pAR262,8
pAR262,8
pAR262,9
pAR262,10
pAR262,10
pAR262,11
pAR262,14
pAR262,15
pAR307,0.4
pAR307,0.4
pAR307,0.4
pAR307,0.4
pAR307,0.6
pAR307,0.7
pAR307,0.8
pAR307,1
pAR307,1.2
pAR307,2.5
pAR307,2.6
pAR307,2.6
pAR307,2.6
pAR307,3
pAR307,5
pAR307,6
pAR307,8
pAR307,10
pAR307,10
pAR308,0.06
pAR308,0.1
pAR308,0.12
pAR308,0.12
pAR308,0.12
pAR308,0.12
pAR308,0.12
pAR308,0.12
pAR308,0.3
pAR308,0.3
pAR308,0.4
pAR308,0.4
pAR308,0.4
pAR308,0.5
pAR308,0.5
pAR308,0.8
pAR308,0.8
pAR308,0.8
pAR308,1
pAR308,1.1
pAR308,1.2
pAR388,0.3
pAR388,0.3
pAR388,0.8
pAR388,1
pAR388,1
pAR388,1
pAR388,1
pAR388,1.2
pAR388,1.2
pAR388,2
pAR388,2
pAR388,2
pAR388,2
pAR388,2
pAR388,2
pAR388,2
pAR388,2
pAR388,2
pAR388,2.4
pAR388,3
pAR388,4.5
pAR389,1.5
pAR389,1.8
pAR389,1.8
pAR389,2.6
pAR389,2.6
pAR389,2.6
pAR389,2.6
pAR389,2.8
pAR389,4
pAR389,5
pAR389,5
pAR389,5
pAR389,5
pAR389,5
pAR389,7.5
pAR389,9
pAR389,10
pAR389,10
pAR389,10
pAR389,20
pDR53,0.2
pDR53,0.2
pDR53,0.2
pDR53,0.2
pDR53,0.9
pDR53,0.9
pDR53,1
pDR53,1
pDR53,1.5
pDR53,1.5
pDR53,2
pDR53,2
pDR53,2.8
pDR53,3
pDR53,3
pDR53,3.5
pDR53,4
pDR53,4
pDR53,4
pDR53,5
pDR53,5
pDR53,5.5
pDR53,7
pDR53,7
pLH165,0.18
pLH165,0.5
pLH165,0.5
pLH165,0.6
pLH165,0.6
pLH165,0.7
pLH165,0.8
pLH165,0.8
pLH165,1
pLH165,1.1
pLH165,1.1
pLH165,1.1
pLH165,1.2
pLH165,1.2
pLH165,1.5
pLH165,1.5
pLH165,1.8
pLH165,2
pLH165,2.2
pLH165,2.8
pLH165,4
pLH165,5
pLH165,7.5
pLH166,0.3
pLH166,0.4
pLH166,0.5
pLH166,0.6
pLH166,0.6
pLH166,0.6
pLH166,0.6
pLH166,0.7
pLH166,0.9
pLH166,0.9
pLH166,0.9
pLH166,0.9
pLH166,1
pLH166,1.5
pLH166,1.5
pLH166,1.8
pLH166,2.4
pLH166,2.4
pLH166,6
